"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,1,56,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",795,67943985246359,67943985247639,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,57,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",810,67943985299602,67943985301882,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,58,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",827,67943985374126,67943985396168,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,59,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",831,67943985399128,67943985400408,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,60,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",846,67943985453171,67943985455531,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,61,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",863,67943985526415,67943985548336,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,62,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",867,67943985551376,67943985553056,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,63,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",882,67943985602379,67943985604699,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,64,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",899,67943985674863,67943985696584,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,65,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",903,67943985699544,67943985700864,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,66,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",918,67943985749707,67943985751947,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,67,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",935,67943985823431,67943985844952,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,68,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",939,67943985848073,67943985849433,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,69,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",954,67943985897435,67943985899676,0,0,44,4,48,64,1,1,64,160,1
